// Transfer(0.0): =======================================================================
{workload: 'DHashMap', scheduling: 'basic', size: 16385, parallelism: 0.498, latency: 543, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 8193, parallelism: 0.498, latency: 533, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 4097, parallelism: 0.498, latency: 531, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 2731, parallelism: 0.498, latency: 531, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 2049, parallelism: 0.498, latency: 529, iter: 1 },

{workload: 'DHashMap', scheduling: 'address', size: 65537, parallelism: 0.498, latency: 1495, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 32769, parallelism: 0.498, latency: 1472, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 16385, parallelism: 0.498, latency: 1467, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 8193, parallelism: 0.498, latency: 1468, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 4097, parallelism: 0.498, latency: 1470, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 2731, parallelism: 0.498, latency: 1296, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 2049, parallelism: 0.498, latency: 1466, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 65537, parallelism: 0.498, latency: 2677, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 32769, parallelism: 0.498, latency: 2059, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 16385, parallelism: 0.498, latency: 1762, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 8193, parallelism: 0.498, latency: 1617, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 4097, parallelism: 0.498, latency: 1548, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 2731, parallelism: 0.498, latency: 1339, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 2049, parallelism: 0.498, latency: 1503, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 65537, parallelism: 0.498, latency: 3858, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 32769, parallelism: 0.498, latency: 2651, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 16385, parallelism: 0.498, latency: 2057, iter: 3 },
