// Transfer(0.0): =======================================================================
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 2731, parallelism: 0.988, latency: 103, iter: 1 },
{workload: 'Transfer(0.5)', scheduling: 'assign(32)', size: 2049, parallelism: 0.992, latency: 75, iter: 1 },

// DHashMap: ============================================================================
{workload: 'DHashMap', scheduling: 'basic', size: 65537, parallelism: 0.498, latency: 577, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 32769, parallelism: 0.500, latency: 272, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 16385, parallelism: 0.503, latency: 131, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 8193, parallelism: 0.503, latency: 43, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 4097, parallelism: 0.494, latency: 11, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 2731, parallelism: 0.487, latency: 6, iter: 1 },
{workload: 'DHashMap', scheduling: 'basic', size: 2049, parallelism: 0.493, latency: 4, iter: 1 },

{workload: 'DHashMap', scheduling: 'address', size: 65537, parallelism: 0.498, latency: 1505, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 32769, parallelism: 0.500, latency: 740, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 16385, parallelism: 0.503, latency: 369, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 8193, parallelism: 0.503, latency: 181, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 4097, parallelism: 0.494, latency: 88, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 2731, parallelism: 0.487, latency: 51, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 2049, parallelism: 0.494, latency: 43, iter: 1 },
{workload: 'DHashMap', scheduling: 'address', size: 65537, parallelism: 0.498, latency: 2699, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 32769, parallelism: 0.500, latency: 1339, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 16385, parallelism: 0.503, latency: 667, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 8193, parallelism: 0.503, latency: 331, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 4097, parallelism: 0.495, latency: 164, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 2731, parallelism: 0.488, latency: 94, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 2049, parallelism: 0.494, latency: 80, iter: 2 },
{workload: 'DHashMap', scheduling: 'address', size: 65537, parallelism: 0.498, latency: 3921, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 32769, parallelism: 0.500, latency: 1936, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 16385, parallelism: 0.503, latency: 964, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 8193, parallelism: 0.504, latency: 481, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 4097, parallelism: 0.495, latency: 239, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 2731, parallelism: 0.488, latency: 136, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 2049, parallelism: 0.495, latency: 117, iter: 3 },
{workload: 'DHashMap', scheduling: 'address', size: 65537, parallelism: 0.498, latency: 5090, iter: 4 },
{workload: 'DHashMap', scheduling: 'address', size: 32769, parallelism: 0.501, latency: 2533, iter: 4 },
{workload: 'DHashMap', scheduling: 'address', size: 16385, parallelism: 0.503, latency: 1261, iter: 4 },
{workload: 'DHashMap', scheduling: 'address', size: 8193, parallelism: 0.504, latency: 630, iter: 4 },
{workload: 'DHashMap', scheduling: 'address', size: 4097, parallelism: 0.495, latency: 314, iter: 4 },
{workload: 'DHashMap', scheduling: 'address', size: 2731, parallelism: 0.488, latency: 179, iter: 4 },
{workload: 'DHashMap', scheduling: 'address', size: 2049, parallelism: 0.495, latency: 155, iter: 4 },
{workload: 'DHashMap', scheduling: 'address', size: 65537, parallelism: 0.498, latency: 6284, iter: 5 },
{workload: 'DHashMap', scheduling: 'address', size: 32769, parallelism: 0.501, latency: 3128, iter: 5 },
{workload: 'DHashMap', scheduling: 'address', size: 16385, parallelism: 0.503, latency: 1560, iter: 5 },
{workload: 'DHashMap', scheduling: 'address', size: 8193, parallelism: 0.504, latency: 778, iter: 5 },
{workload: 'DHashMap', scheduling: 'address', size: 4097, parallelism: 0.495, latency: 389, iter: 5 },
{workload: 'DHashMap', scheduling: 'address', size: 2731, parallelism: 0.489, latency: 223, iter: 5 },
{workload: 'DHashMap', scheduling: 'address', size: 2049, parallelism: 0.496, latency: 192, iter: 5 },

{workload: 'DHashMap', scheduling: 'read/write', size: 65537, parallelism: 0.513, latency: 1570, iter: 1 },
{workload: 'DHashMap', scheduling: 'read/write', size: 32769, parallelism: 0.532, latency: 789, iter: 1 },
{workload: 'DHashMap', scheduling: 'read/write', size: 16385, parallelism: 0.565, latency: 403, iter: 1 },
{workload: 'DHashMap', scheduling: 'read/write', size: 8193, parallelism: 0.625, latency: 204, iter: 1 },
{workload: 'DHashMap', scheduling: 'read/write', size: 4097, parallelism: 0.707, latency: 92, iter: 1 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2731, parallelism: 0.760, latency: 58, iter: 1 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2049, parallelism: 0.803, latency: 42, iter: 1 },
{workload: 'DHashMap', scheduling: 'read/write', size: 65537, parallelism: 0.529, latency: 2833, iter: 2 },
{workload: 'DHashMap', scheduling: 'read/write', size: 32769, parallelism: 0.563, latency: 1410, iter: 2 },
{workload: 'DHashMap', scheduling: 'read/write', size: 16385, parallelism: 0.628, latency: 705, iter: 2 },
{workload: 'DHashMap', scheduling: 'read/write', size: 8193, parallelism: 0.739, latency: 328, iter: 2 },
{workload: 'DHashMap', scheduling: 'read/write', size: 4097, parallelism: 0.860, latency: 137, iter: 2 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2731, parallelism: 0.911, latency: 82, iter: 2 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2049, parallelism: 0.940, latency: 57, iter: 2 },
{workload: 'DHashMap', scheduling: 'read/write', size: 65537, parallelism: 0.545, latency: 4059, iter: 3 },
{workload: 'DHashMap', scheduling: 'read/write', size: 32769, parallelism: 0.594, latency: 1993, iter: 3 },
{workload: 'DHashMap', scheduling: 'read/write', size: 16385, parallelism: 0.689, latency: 958, iter: 3 },
{workload: 'DHashMap', scheduling: 'read/write', size: 8193, parallelism: 0.832, latency: 413, iter: 3 },
{workload: 'DHashMap', scheduling: 'read/write', size: 4097, parallelism: 0.945, latency: 162, iter: 3 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2731, parallelism: 0.973, latency: 92, iter: 3 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2049, parallelism: 0.984, latency: 62, iter: 3 },
{workload: 'DHashMap', scheduling: 'read/write', size: 65537, parallelism: 0.560, latency: 5251, iter: 4 },
{workload: 'DHashMap', scheduling: 'read/write', size: 32769, parallelism: 0.625, latency: 2543, iter: 4 },
{workload: 'DHashMap', scheduling: 'read/write', size: 16385, parallelism: 0.749, latency: 1171, iter: 4 },
{workload: 'DHashMap', scheduling: 'read/write', size: 8193, parallelism: 0.903, latency: 470, iter: 4 },
{workload: 'DHashMap', scheduling: 'read/write', size: 4097, parallelism: 0.980, latency: 172, iter: 4 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2731, parallelism: 0.993, latency: 94, iter: 4 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2049, parallelism: 0.997, latency: 64, iter: 4 },
{workload: 'DHashMap', scheduling: 'read/write', size: 65537, parallelism: 0.576, latency: 6403, iter: 5 },
{workload: 'DHashMap', scheduling: 'read/write', size: 32769, parallelism: 0.657, latency: 3050, iter: 5 },
{workload: 'DHashMap', scheduling: 'read/write', size: 16385, parallelism: 0.805, latency: 1342, iter: 5 },
{workload: 'DHashMap', scheduling: 'read/write', size: 8193, parallelism: 0.949, latency: 505, iter: 5 },
{workload: 'DHashMap', scheduling: 'read/write', size: 4097, parallelism: 0.994, latency: 176, iter: 5 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2731, parallelism: 0.999, latency: 96, iter: 5 },
{workload: 'DHashMap', scheduling: 'read/write', size: 2049, parallelism: 1.000, latency: 64, iter: 5 },

{workload: 'DHashMap', scheduling: 'assign(4)', size: 65537, parallelism: 1.000, latency: 1784, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(4)', size: 32769, parallelism: 1.000, latency: 903, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(4)', size: 16385, parallelism: 1.000, latency: 436, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(4)', size: 8193, parallelism: 1.000, latency: 232, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(4)', size: 4097, parallelism: 1.000, latency: 124, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(4)', size: 2731, parallelism: 1.000, latency: 82, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(4)', size: 2049, parallelism: 1.000, latency: 60, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(8)', size: 65537, parallelism: 1.000, latency: 1790, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(8)', size: 32769, parallelism: 1.000, latency: 909, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(8)', size: 16385, parallelism: 1.000, latency: 440, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(8)', size: 8193, parallelism: 1.000, latency: 234, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(8)', size: 4097, parallelism: 1.000, latency: 124, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(8)', size: 2731, parallelism: 1.000, latency: 82, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(8)', size: 2049, parallelism: 1.000, latency: 60, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(16)', size: 65537, parallelism: 1.000, latency: 1831, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(16)', size: 32769, parallelism: 1.000, latency: 923, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(16)', size: 16385, parallelism: 1.000, latency: 446, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(16)', size: 8193, parallelism: 1.000, latency: 237, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(16)', size: 4097, parallelism: 1.000, latency: 124, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(16)', size: 2731, parallelism: 1.000, latency: 83, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(16)', size: 2049, parallelism: 1.000, latency: 61, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(24)', size: 65537, parallelism: 1.000, latency: 1835, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(24)', size: 32769, parallelism: 1.000, latency: 932, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(24)', size: 16385, parallelism: 1.000, latency: 449, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(24)', size: 8193, parallelism: 1.000, latency: 238, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(24)', size: 4097, parallelism: 1.000, latency: 125, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(24)', size: 2731, parallelism: 1.000, latency: 83, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(24)', size: 2049, parallelism: 1.000, latency: 61, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(32)', size: 65537, parallelism: 1.000, latency: 1851, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(32)', size: 32769, parallelism: 1.000, latency: 938, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(32)', size: 16385, parallelism: 1.000, latency: 452, iter: 1 },
{workload: 'DHashMap', scheduling: 'assign(32)', size: 8193, parallelism: 1.000, latency: 240, iter: 1 },
